,Brand,Cooling_Capacity,Star_Rating,Annual_power_usage,Room_Size,Warranty,Price,Ratings,no_of_rating,Reviews
288,Daikin,1.8 Ton,3 Star,1161.78,151 - 200,1,"53,990",,,
289,Panasonic,1.5 Ton,5 Star,1086.41,111 - 150,1,,3.9,,
290,CARRIER,1.5 Ton,3 Star,964.1,111 - 150,1,"35,990",4,"14,872","1,254"
291,Panasonic,1.5 Ton,3 Star,1002.31,111 - 150,1,"36,990",4.1,"24,837","2,508"
292,Electrolux,1.5 Ton,3 Star,1000.9,111 - 150,1,"36,200",3,,
293,Blue,1.5 Ton,3 Star,1007.86,111 - 150,1,"40,000",4.1,892,74
294,SAMSUNG,2 Ton,3 Star,1145.22,151 - 200,1,"55,990",4.1,450,38
295,Lloyd,1 Ton,3 Star,644.02,90,,"31,890",4.3,,
296,Panasonic,1.5 Ton,4 Star,876.76,111 - 150,1,"41,790",4,"2,464",262
297,Blue,1.5 Ton,5 Star,770.98,111 - 150,1,"45,990",4,"5,266",456
298,Lloyd,1.5 Ton,5 Star,780.56,111 - 150,1,"42,999",4.1,"11,020","1,437"
299,Whirlpool,1.5 Ton,3 Star,,0,1,"34,090",3.9,31,
300,Panasonic,1.5 Ton,5 Star,774.19,111 - 150,1,"44,990",4.1,"24,837","2,508"
301,Godrej,2 Ton,3 Star,1183.2,151 - 200,5,"42,990",4,"11,016",812
302,Haier,1 Ton,3 Star,694.49,90,,,4,"2,979",347
303,Blue,1 Ton,4 Star,565.65,90,,"47,101",4.1,"15,366","1,512"
304,Lloyd,1.2 Ton,3 Star,918.14,91 - 110,1,"33,333",4.3,844,162
305,Godrej,2 Ton,,,151 - 200,,"41,199",3.8,24,
306,Panasonic,0.8 Ton,3 Star,519.64,90,,"28,990",4.1,"24,837","2,508"
307,Blue,2 Ton,3 Star,1261.37,151 - 200,1,"48,990",4,"5,266",456
308,Blue,1.5 Ton,3 Star,975.37,111 - 150,1,"40,800",4.1,"15,366","1,512"
309,Panasonic,1.5 Ton,5 Star,846.85,111 - 150,1,"44,934",4.5,153,23
310,Panasonic,1 Ton,3 Star,676.64,90,,"32,990",4,"2,464",262
311,Panasonic,1 Ton,5 Star,524.08,90,,"38,990",4.1,"24,837","2,508"
312,Lloyd,1.5 Ton,5 Star,715.07,111 - 150,1,"40,580",4.3,16,
313,Hitachi,1 Ton,3 Star,688.96,90,,"31,141",3.8,475,41
314,Lloyd,1 Ton,3 Star,689.77,90,,"35,900",3.5,121,15
315,Godrej,1.7 Ton,3 Star,1118.35,151 - 200,1,"33,959",,,
316,CARRIER,1.5 Ton,3 Star,964.1,111 - 150,1,"35,990",4,"14,872","1,254"
317,IFB,1.5 Ton,3 Star,1002.83,111 - 150,1,"41,490",3.9,"1,637",133
318,Acer,1 Ton,3 Star,655.38,90,,"27,999",,,
319,Godrej,1.5 Ton,3 Star,1006.54,111 - 150,1,"34,890",4,11,
320,Panasonic,1.5 Ton,3 Star,1002.31,111 - 150,1,"36,990",4.1,"24,837","2,508"
321,Panasonic,1.5 Ton,4 Star,876.76,111 - 150,1,"41,790",4,"2,464",262
322,Hitachi,2 Ton,3 Star,1409.41,151 - 200,1,"51,850",3.7,,
323,Daikin,2.02 Ton,3 Star,1372.85,,,"63,999",5,,
324,Blue,1 Ton,3 Star,703.9,90,,"33,799",3.9,14,
325,Haier,1.6 Ton,5 Star,836.95,151 - 200,1,"43,500",4.8,,
